add another song to the cita romántica playlist.	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlistOPEN cita romántica CLOSEplaylist
book a table this evening in saint vincent and the grenadines at a gastropub	BookRestaurant timeRangeOPEN evening CLOSEtimeRange countryOPEN saint vincent and the grenadines CLOSEcountry restaurant_typeOPEN gastropub CLOSErestaurant_type
book a table in hallwood for one for supper	BookRestaurant cityOPEN hallwood CLOSEcity party_size_numberOPEN one CLOSEparty_size_number timeRangeOPEN supper CLOSEtimeRange
i want to eat panisses the nearby  cafeteria in naytahwaush	BookRestaurant served_dishOPEN panisses CLOSEserved_dish spatial_relationOPEN nearby CLOSEspatial_relation restaurant_typeOPEN cafeteria CLOSErestaurant_type cityOPEN naytahwaush CLOSEcity
book a table at a osteria type restaurant in sd	BookRestaurant restaurant_typeOPEN osteria CLOSErestaurant_type restaurant_typeOPEN restaurant CLOSErestaurant_type stateOPEN sd CLOSEstate
book a table for kristina and teresa  in 1 second .	BookRestaurant party_size_descriptionOPEN kristina and teresa CLOSEparty_size_description timeRangeOPEN in 1 second CLOSEtimeRange
i want to book the commons restaurant for five on dec. the eighth	BookRestaurant restaurant_nameOPEN the commons restaurant CLOSErestaurant_name party_size_numberOPEN five CLOSEparty_size_number timeRangeOPEN dec. the eighth CLOSEtimeRange
book the cityzen for six people.	BookRestaurant restaurant_nameOPEN cityzen CLOSErestaurant_name party_size_numberOPEN six CLOSEparty_size_number
please get me seating at the tavern in red lick , michigan	BookRestaurant restaurant_typeOPEN tavern CLOSErestaurant_type cityOPEN red lick CLOSEcity stateOPEN michigan CLOSEstate
need to book a table at a fast food restaurant for a party of nine on november seventeenth, 2019	BookRestaurant restaurant_typeOPEN fast food CLOSErestaurant_type party_size_numberOPEN nine CLOSEparty_size_number timeRangeOPEN november seventeenth, 2019 CLOSEtimeRange
i want to eat at a bakery with deidre and rosa in jersey .	BookRestaurant restaurant_typeOPEN bakery CLOSErestaurant_type party_size_descriptionOPEN deidre and rosa CLOSEparty_size_description countryOPEN jersey CLOSEcountry
book a restaurant for ten people 1 second from now .	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type party_size_numberOPEN ten CLOSEparty_size_number timeRangeOPEN 1 second from now CLOSEtimeRange
book reservations for ava gonzales, raquel brown and i on jul. 6, 2040 in hainesville at a restaurant	BookRestaurant party_size_descriptionOPEN ava gonzales, raquel brown and i CLOSEparty_size_description timeRangeOPEN jul. 6, 2040 CLOSEtimeRange cityOPEN hainesville CLOSEcity restaurant_typeOPEN restaurant CLOSErestaurant_type
i need to get seats for me and my ex wife to eat in egypt .	BookRestaurant party_size_descriptionOPEN me and my ex wife CLOSEparty_size_description countryOPEN egypt CLOSEcountry
book the lake house for me and carmella	BookRestaurant restaurant_nameOPEN the lake house CLOSErestaurant_name party_size_descriptionOPEN me and carmella CLOSEparty_size_description
find a reservation at a brasserie restaurant  nearby  sc for a party of ten	BookRestaurant restaurant_typeOPEN brasserie restaurant CLOSErestaurant_type spatial_relationOPEN nearby CLOSEspatial_relation stateOPEN sc CLOSEstate party_size_numberOPEN ten CLOSEparty_size_number
antoinette and i want to eat at an oyster bar that serves pizzette in south duxbury  me	BookRestaurant party_size_descriptionOPEN antoinette and i CLOSEparty_size_description restaurant_typeOPEN oyster bar CLOSErestaurant_type served_dishOPEN pizzette CLOSEserved_dish cityOPEN south duxbury CLOSEcity stateOPEN me CLOSEstate
book a restaurant in medford lakes on sep. 8, 2033 for essie, tonya and i	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type cityOPEN medford lakes CLOSEcity timeRangeOPEN sep. 8, 2033 CLOSEtimeRange party_size_descriptionOPEN essie, tonya and i CLOSEparty_size_description
book a restaurant for four in burundi	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type party_size_numberOPEN four CLOSEparty_size_number countryOPEN burundi CLOSEcountry
i'd like a table for my teenager and i at the washington, d.c. jewish community center	BookRestaurant party_size_descriptionOPEN my teenager and i CLOSEparty_size_description restaurant_nameOPEN washington, d.c. jewish community center CLOSErestaurant_name
book a table for doris and i in new tulsa	BookRestaurant party_size_descriptionOPEN doris and i CLOSEparty_size_description cityOPEN new tulsa CLOSEcity
book a reservation at a restaurant with me, matilda and deana	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type party_size_descriptionOPEN me, matilda and deana CLOSEparty_size_description
reserve a place to eat on march fifteenth in china  within the same area .	BookRestaurant timeRangeOPEN march fifteenth CLOSEtimeRange countryOPEN china CLOSEcountry spatial_relationOPEN within the same area CLOSEspatial_relation
i'd like a table for three at black rapids roadhouse on february 24th, 2039	BookRestaurant party_size_numberOPEN three CLOSEparty_size_number restaurant_nameOPEN black rapids roadhouse CLOSErestaurant_name timeRangeOPEN february 24th, 2039 CLOSEtimeRange
get me a table at a bar which has a spa .	BookRestaurant restaurant_typeOPEN bar CLOSErestaurant_type facilityOPEN spa CLOSEfacility
please make reservations for a bar  close-by in lake alfred .	BookRestaurant restaurant_typeOPEN bar CLOSErestaurant_type spatial_relationOPEN close-by CLOSEspatial_relation cityOPEN lake alfred CLOSEcity
i need a reservation for roscoff restaurant in valley mills	BookRestaurant restaurant_nameOPEN roscoff restaurant CLOSErestaurant_name cityOPEN valley mills CLOSEcity
i need a table at a brasserie in belgium	BookRestaurant restaurant_typeOPEN brasserie CLOSErestaurant_type countryOPEN belgium CLOSEcountry
i want to book at a pub with parking in cuba .	BookRestaurant restaurant_typeOPEN pub CLOSErestaurant_type facilityOPEN parking CLOSEfacility countryOPEN cuba CLOSEcountry
book a table for 4 at fish express	BookRestaurant party_size_numberOPEN 4 CLOSEparty_size_number restaurant_nameOPEN fish express CLOSErestaurant_name
i'd like to eat at a top-rated place on nov. the twenty-sixth in the food court , i need reservations for 7 in the city of kane or somewhere near there.	BookRestaurant sortOPEN top-rated CLOSEsort timeRangeOPEN nov. the twenty-sixth CLOSEtimeRange restaurant_typeOPEN food court CLOSErestaurant_type party_size_numberOPEN 7 CLOSEparty_size_number cityOPEN kane CLOSEcity spatial_relationOPEN near CLOSEspatial_relation
book me a table for seven in neighboring  france .	BookRestaurant party_size_numberOPEN seven CLOSEparty_size_number spatial_relationOPEN neighboring CLOSEspatial_relation countryOPEN france CLOSEcountry
book in falkland islands at atomic cafe	BookRestaurant countryOPEN falkland islands CLOSEcountry restaurant_nameOPEN atomic cafe CLOSErestaurant_name
i want to take four friends to the pub for some tuna casserole	BookRestaurant party_size_numberOPEN four CLOSEparty_size_number restaurant_typeOPEN pub CLOSErestaurant_type served_dishOPEN tuna casserole CLOSEserved_dish
i need a reservation in decaturville for six people.	BookRestaurant cityOPEN decaturville CLOSEcity party_size_numberOPEN six CLOSEparty_size_number
book me a reservation for eight for the top-rated  bakery  eleven hours from now in mango	BookRestaurant party_size_numberOPEN eight CLOSEparty_size_number sortOPEN top-rated CLOSEsort restaurant_typeOPEN bakery CLOSErestaurant_type timeRangeOPEN eleven hours from now CLOSEtimeRange cityOPEN mango CLOSEcity
book a spot for ten at a restaurant with a spa in u.s. minor outlying islands	BookRestaurant party_size_numberOPEN ten CLOSEparty_size_number restaurant_typeOPEN restaurant CLOSErestaurant_type facilityOPEN spa CLOSEfacility countryOPEN u.s. minor outlying islands CLOSEcountry
book a reservation for seven people at a highly rated  restaurant that serves moroccan food in east greenville	BookRestaurant party_size_numberOPEN seven CLOSEparty_size_number sortOPEN highly rated CLOSEsort restaurant_typeOPEN restaurant CLOSErestaurant_type cuisineOPEN moroccan CLOSEcuisine cityOPEN east greenville CLOSEcity
book the light horse tavern for 4 people.	BookRestaurant restaurant_nameOPEN light horse tavern CLOSErestaurant_name party_size_numberOPEN 4 CLOSEparty_size_number
book a table in ut at kearney for 6	BookRestaurant stateOPEN ut CLOSEstate cityOPEN kearney CLOSEcity party_size_numberOPEN 6 CLOSEparty_size_number
book a table at a restaurant in lucerne valley that serves chicken nugget	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type cityOPEN lucerne valley CLOSEcity served_dishOPEN chicken nugget CLOSEserved_dish
me and deanna want to book a restaurant in malawi	BookRestaurant party_size_descriptionOPEN me and deanna CLOSEparty_size_description restaurant_typeOPEN restaurant CLOSErestaurant_type countryOPEN malawi CLOSEcountry
book a food truck that serves tarte for tanisha, lorena and juliana .	BookRestaurant restaurant_typeOPEN food truck CLOSErestaurant_type served_dishOPEN tarte CLOSEserved_dish party_size_descriptionOPEN tanisha, lorena and juliana CLOSEparty_size_description
christie, concepcion and i want to eat trattoria at a brasserie in johnston  now	BookRestaurant party_size_descriptionOPEN christie, concepcion and i CLOSEparty_size_description cuisineOPEN trattoria CLOSEcuisine restaurant_typeOPEN brasserie CLOSErestaurant_type cityOPEN johnston CLOSEcity timeRangeOPEN now CLOSEtimeRange
book in one hour  within walking distance of a restaurant  downtown	BookRestaurant timeRangeOPEN in one hour CLOSEtimeRange spatial_relationOPEN within walking distance CLOSEspatial_relation restaurant_typeOPEN restaurant CLOSErestaurant_type poiOPEN downtown CLOSEpoi
i need to book a top-rated  steakhouse  this autumn for 1  around  azerbaijan	BookRestaurant sortOPEN top-rated CLOSEsort restaurant_typeOPEN steakhouse CLOSErestaurant_type timeRangeOPEN this autumn CLOSEtimeRange party_size_numberOPEN 1 CLOSEparty_size_number spatial_relationOPEN around CLOSEspatial_relation countryOPEN azerbaijan CLOSEcountry
book in romania for christian and susana at david carpenter house	BookRestaurant countryOPEN romania CLOSEcountry party_size_descriptionOPEN christian and susana CLOSEparty_size_description restaurant_nameOPEN david carpenter house CLOSErestaurant_name
book in ukraine at a highly rated  restaurant	BookRestaurant countryOPEN ukraine CLOSEcountry sortOPEN highly rated CLOSEsort restaurant_typeOPEN restaurant CLOSErestaurant_type
let me get reservations at a place neighboring  indonesia on august the nineteenth .	BookRestaurant spatial_relationOPEN neighboring CLOSEspatial_relation countryOPEN indonesia CLOSEcountry timeRangeOPEN august the nineteenth CLOSEtimeRange
i'd like to book a reservation for next spring for nine people at shore club .	BookRestaurant timeRangeOPEN next spring CLOSEtimeRange party_size_numberOPEN nine CLOSEparty_size_number restaurant_nameOPEN shore club CLOSErestaurant_name
book the chapter one in bosnia and herzegovina for patti, hester richardson and camille	BookRestaurant restaurant_nameOPEN chapter one CLOSErestaurant_name countryOPEN bosnia and herzegovina CLOSEcountry party_size_descriptionOPEN patti, hester richardson and camille CLOSEparty_size_description
book me a restaurant  ten minutes from now	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type timeRangeOPEN ten minutes from now CLOSEtimeRange
i need a reservation for a tea house in maple glen for four people	BookRestaurant restaurant_typeOPEN tea house CLOSErestaurant_type cityOPEN maple glen CLOSEcity party_size_numberOPEN four CLOSEparty_size_number
i'd like to eat at ten pm. anywhere neighboring to our house	BookRestaurant timeRangeOPEN ten pm. CLOSEtimeRange spatial_relationOPEN neighboring CLOSEspatial_relation poiOPEN our house CLOSEpoi
book a table for seven people at a restaurant which has internet .	BookRestaurant party_size_numberOPEN seven CLOSEparty_size_number restaurant_typeOPEN restaurant CLOSErestaurant_type facilityOPEN internet CLOSEfacility
book a table for 6 at a restaurant in pershing square, manhattan at two am	BookRestaurant party_size_numberOPEN 6 CLOSEparty_size_number restaurant_typeOPEN restaurant CLOSErestaurant_type restaurant_nameOPEN pershing square, manhattan CLOSErestaurant_name timeRangeOPEN two am CLOSEtimeRange
book a restaurant in nebraska on january 25, 2034 for me and my mommy .	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type stateOPEN nebraska CLOSEstate timeRangeOPEN january 25, 2034 CLOSEtimeRange party_size_descriptionOPEN me and my mommy CLOSEparty_size_description
book a restaurant table at the food court in the spa  sixteen hours from now	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type restaurant_typeOPEN food court CLOSErestaurant_type facilityOPEN spa CLOSEfacility timeRangeOPEN sixteen hours from now CLOSEtimeRange
book me a table for one at blue ribbon barbecue	BookRestaurant party_size_numberOPEN one CLOSEparty_size_number restaurant_nameOPEN blue ribbon barbecue CLOSErestaurant_name
book a highly rated  food court for 2 people on jul. 4th .	BookRestaurant sortOPEN highly rated CLOSEsort restaurant_typeOPEN food court CLOSErestaurant_type party_size_numberOPEN 2 CLOSEparty_size_number timeRangeOPEN jul. 4th CLOSEtimeRange
locate a bakery in rockport , federated states of micronesia that serves olives	BookRestaurant restaurant_typeOPEN bakery CLOSErestaurant_type cityOPEN rockport CLOSEcity stateOPEN federated states of micronesia CLOSEstate served_dishOPEN olives CLOSEserved_dish
book a table for my great grandfather and i at a place in booker , ak .	BookRestaurant party_size_descriptionOPEN my great grandfather and i CLOSEparty_size_description cityOPEN booker CLOSEcity stateOPEN ak CLOSEstate
book a table at anstruther fish bar in fm	BookRestaurant restaurant_nameOPEN anstruther fish bar CLOSErestaurant_name stateOPEN fm CLOSEstate
please make a reservation at ten at a bakery which serves burrito .	BookRestaurant party_size_numberOPEN ten CLOSEparty_size_number restaurant_typeOPEN bakery CLOSErestaurant_type served_dishOPEN burrito CLOSEserved_dish
book the labworth café in ethiopia for six people.	BookRestaurant restaurant_nameOPEN labworth café CLOSErestaurant_name countryOPEN ethiopia CLOSEcountry party_size_numberOPEN six CLOSEparty_size_number
i have a party of 7 in east timor	BookRestaurant party_size_numberOPEN 7 CLOSEparty_size_number countryOPEN east timor CLOSEcountry
i need a table for 1 minute from now at any pub for five  around  in that also serves fisn'n chips .	BookRestaurant timeRangeOPEN 1 minute from now CLOSEtimeRange restaurant_typeOPEN pub CLOSErestaurant_type party_size_numberOPEN five CLOSEparty_size_number spatial_relationOPEN around CLOSEspatial_relation stateOPEN in CLOSEstate served_dishOPEN fisn'n chips CLOSEserved_dish
book a best  tavern for nine	BookRestaurant sortOPEN best CLOSEsort restaurant_typeOPEN tavern CLOSErestaurant_type party_size_numberOPEN nine CLOSEparty_size_number
me and aisha and craving cordon bleu and need to book a table at a brasserie .	BookRestaurant party_size_descriptionOPEN me and aisha CLOSEparty_size_description served_dishOPEN cordon bleu CLOSEserved_dish restaurant_typeOPEN brasserie CLOSErestaurant_type
evangeline and petra cooper want to go to a restaurant  in 9 years 	BookRestaurant party_size_descriptionOPEN evangeline and petra cooper CLOSEparty_size_description restaurant_typeOPEN restaurant CLOSErestaurant_type timeRangeOPEN in 9 years CLOSEtimeRange
table for one somewhere in palco	BookRestaurant party_size_numberOPEN one CLOSEparty_size_number cityOPEN palco CLOSEcity
i need to book a restaurant at four o'clock for 4	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type timeRangeOPEN four o'clock CLOSEtimeRange party_size_numberOPEN 4 CLOSEparty_size_number
lets go to a steakhouse before we go to the pool	BookRestaurant restaurant_typeOPEN steakhouse CLOSErestaurant_type timeRangeOPEN we CLOSEtimeRange facilityOPEN pool CLOSEfacility
book a table for iris, ina and heidi around 9 pm .	BookRestaurant party_size_descriptionOPEN iris, ina and heidi CLOSEparty_size_description timeRangeOPEN 9 pm CLOSEtimeRange
i need a reservation in pitcairn islands for any restaurant joint	BookRestaurant countryOPEN pitcairn islands CLOSEcountry restaurant_typeOPEN restaurant joint CLOSErestaurant_type
book something for me and my wife at a restaurant  in four weeks	BookRestaurant party_size_descriptionOPEN me and my wife CLOSEparty_size_description restaurant_typeOPEN restaurant CLOSErestaurant_type timeRangeOPEN in four weeks CLOSEtimeRange
need a table in serbia and montenegro on apr. 16 for a party of seven	BookRestaurant countryOPEN serbia and montenegro CLOSEcountry timeRangeOPEN apr. 16 CLOSEtimeRange party_size_numberOPEN seven CLOSEparty_size_number
book a steakhouse with a spa for seven people.	BookRestaurant restaurant_typeOPEN steakhouse CLOSErestaurant_type facilityOPEN spa CLOSEfacility party_size_numberOPEN seven CLOSEparty_size_number
i need seats for six at a vegan  bar in london borough of enfield or the same distant  in one second	BookRestaurant party_size_numberOPEN six CLOSEparty_size_number served_dishOPEN vegan CLOSEserved_dish restaurant_typeOPEN bar CLOSErestaurant_type poiOPEN london borough of enfield CLOSEpoi spatial_relationOPEN same distant CLOSEspatial_relation timeRangeOPEN in one second CLOSEtimeRange
book a table at a diner which serves thousand island dressing in ivory coast .	BookRestaurant restaurant_typeOPEN diner CLOSErestaurant_type served_dishOPEN thousand island dressing CLOSEserved_dish countryOPEN ivory coast CLOSEcountry
i need a booking for seven people at metropolitan museum of art .	BookRestaurant party_size_numberOPEN seven CLOSEparty_size_number restaurant_nameOPEN metropolitan museum of art CLOSErestaurant_name
book a reservation for four at the best  brasserie in venezuela	BookRestaurant party_size_numberOPEN four CLOSEparty_size_number sortOPEN best CLOSEsort restaurant_typeOPEN brasserie CLOSErestaurant_type countryOPEN venezuela CLOSEcountry
book a table for 1 person at a popular  brasserie in jansen that serves english food	BookRestaurant party_size_numberOPEN 1 CLOSEparty_size_number sortOPEN popular CLOSEsort restaurant_typeOPEN brasserie CLOSErestaurant_type cityOPEN jansen CLOSEcity cuisineOPEN english CLOSEcuisine
i need a reservation for eight for a brasserie that serves spanish rice	BookRestaurant party_size_numberOPEN eight CLOSEparty_size_number restaurant_typeOPEN brasserie CLOSErestaurant_type served_dishOPEN spanish rice CLOSEserved_dish
book reservations at a restaurant in ne for 4 people on apr. 2, 2021	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type stateOPEN ne CLOSEstate party_size_numberOPEN 4 CLOSEparty_size_number timeRangeOPEN apr. 2, 2021 CLOSEtimeRange
book a gratin serving tea house in bushkill	BookRestaurant served_dishOPEN gratin CLOSEserved_dish restaurant_typeOPEN tea house CLOSErestaurant_type cityOPEN bushkill CLOSEcity
book a restaurant that serves bouchée for midnight .	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type served_dishOPEN bouchée CLOSEserved_dish timeRangeOPEN midnight CLOSEtimeRange
book a restaurant for 7 people.	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type party_size_numberOPEN 7 CLOSEparty_size_number
party of two for a food truck on december 22 that serves chicken french in bolivia	BookRestaurant party_size_numberOPEN two CLOSEparty_size_number restaurant_typeOPEN food truck CLOSErestaurant_type timeRangeOPEN december 22 CLOSEtimeRange served_dishOPEN chicken french CLOSEserved_dish countryOPEN bolivia CLOSEcountry
book a spot for marlene, jordan and i on oct. the 6th	BookRestaurant party_size_descriptionOPEN marlene, jordan and i CLOSEparty_size_description timeRangeOPEN oct. the 6th CLOSEtimeRange
book a restaurant that serves trottole in tillicum	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type served_dishOPEN trottole CLOSEserved_dish cityOPEN tillicum CLOSEcity
i'd like to book the best  restaurant in as .	BookRestaurant sortOPEN best CLOSEsort restaurant_typeOPEN restaurant CLOSErestaurant_type stateOPEN as CLOSEstate
book a spot for 10  in the same area of inwood - 207th st	BookRestaurant party_size_numberOPEN 10 CLOSEparty_size_number spatial_relationOPEN in the same area CLOSEspatial_relation poiOPEN inwood - 207th st CLOSEpoi
i need to book a restaurant in burkettsville  in 2 years for rhoda adams, roxanne and i	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type cityOPEN burkettsville CLOSEcity timeRangeOPEN in 2 years CLOSEtimeRange party_size_descriptionOPEN rhoda adams, roxanne and i CLOSEparty_size_description
need a table at a fast food restaurant for me and my kids in brusly landing	BookRestaurant restaurant_typeOPEN fast food restaurant CLOSErestaurant_type party_size_descriptionOPEN me and my kids CLOSEparty_size_description cityOPEN brusly landing CLOSEcity
i need a table for nine in atlas  in 1 second	BookRestaurant party_size_numberOPEN nine CLOSEparty_size_number cityOPEN atlas CLOSEcity timeRangeOPEN in 1 second CLOSEtimeRange
book a restaurant  distant from downtown .	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type spatial_relationOPEN distant CLOSEspatial_relation poiOPEN downtown CLOSEpoi
i want to bring four people to a place that's close to downtown that serves churrascaria cuisine.	BookRestaurant party_size_numberOPEN four CLOSEparty_size_number spatial_relationOPEN close CLOSEspatial_relation poiOPEN downtown CLOSEpoi restaurant_typeOPEN churrascaria CLOSErestaurant_type
in delanson  1 hour from now reserve a table for four	BookRestaurant cityOPEN delanson CLOSEcity timeRangeOPEN 1 hour from now CLOSEtimeRange party_size_numberOPEN four CLOSEparty_size_number
find me a table at a delicatessen in urbanette that serves rabbit pie	BookRestaurant restaurant_typeOPEN delicatessen CLOSErestaurant_type cityOPEN urbanette CLOSEcity served_dishOPEN rabbit pie CLOSEserved_dish
book a restaurant in wi at 13:22:34 for 9 people.	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type stateOPEN wi CLOSEstate timeRangeOPEN 13:22:34 CLOSEtimeRange party_size_numberOPEN 9 CLOSEparty_size_number
please make reservations for three at a kosher  taverna  nearby  our secondary residence 	BookRestaurant party_size_numberOPEN three CLOSEparty_size_number cuisineOPEN kosher CLOSEcuisine restaurant_typeOPEN taverna CLOSErestaurant_type spatial_relationOPEN nearby CLOSEspatial_relation poiOPEN our secondary residence CLOSEpoi
book a restaurant in indiana for me, violet and dianne .	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type stateOPEN indiana CLOSEstate party_size_descriptionOPEN me, violet and dianne CLOSEparty_size_description
book a restaurant  close to grant av	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type spatial_relationOPEN close CLOSEspatial_relation poiOPEN grant av CLOSEpoi
book reservation for 2 people tomorrow in whitewater	BookRestaurant party_size_numberOPEN 2 CLOSEparty_size_number timeRangeOPEN tomorrow CLOSEtimeRange cityOPEN whitewater CLOSEcity
i need a table for 8 people at a restaurant in district of columbia .	BookRestaurant party_size_numberOPEN 8 CLOSEparty_size_number restaurant_typeOPEN restaurant CLOSErestaurant_type stateOPEN district of columbia CLOSEstate
book a table for ten people	BookRestaurant party_size_numberOPEN ten CLOSEparty_size_number
book a restaurant for 9 at 00:37 pm	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type party_size_numberOPEN 9 CLOSEparty_size_number timeRangeOPEN 00:37 pm CLOSEtimeRange
book a restaurant in botswana for seven people.	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type countryOPEN botswana CLOSEcountry party_size_numberOPEN seven CLOSEparty_size_number
book georgetown cupcake in keller for tea time.	BookRestaurant restaurant_nameOPEN georgetown cupcake CLOSErestaurant_name cityOPEN keller CLOSEcity timeRangeOPEN tea CLOSEtimeRange
book a restaurant for marcella, erma and leanne rivera .	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type party_size_descriptionOPEN marcella, erma and leanne rivera CLOSEparty_size_description
i would like to make a reservation for 2 for brunch .	BookRestaurant party_size_numberOPEN 2 CLOSEparty_size_number timeRangeOPEN brunch CLOSEtimeRange
book a table for me and my crew scheduled for 10:47:15 pm in il .	BookRestaurant party_size_descriptionOPEN me and my crew CLOSEparty_size_description timeRangeOPEN 10:47:15 pm CLOSEtimeRange stateOPEN il CLOSEstate
i'd like to go to the popular  bistro in oh	BookRestaurant sortOPEN popular CLOSEsort restaurant_typeOPEN bistro CLOSErestaurant_type stateOPEN oh CLOSEstate
please book a bar type goiano room accommodate for 2 members 1 second from now in pr	BookRestaurant restaurant_typeOPEN bar CLOSErestaurant_type cuisineOPEN goiano CLOSEcuisine party_size_numberOPEN 2 CLOSEparty_size_number timeRangeOPEN 1 second from now CLOSEtimeRange stateOPEN pr CLOSEstate
i'm looking to get a seat at a brasserie in togo .	BookRestaurant restaurant_typeOPEN brasserie CLOSErestaurant_type countryOPEN togo CLOSEcountry
book me a table at a tartinery restaurant  not far from my home in elk rapids .	BookRestaurant restaurant_nameOPEN tartinery restaurant CLOSErestaurant_name spatial_relationOPEN not far CLOSEspatial_relation poiOPEN home CLOSEpoi cityOPEN elk rapids CLOSEcity
book a brasserie at turtle creek  neighboring on march sixth, 2038 for eight	BookRestaurant restaurant_typeOPEN brasserie CLOSErestaurant_type poiOPEN turtle creek CLOSEpoi spatial_relationOPEN neighboring CLOSEspatial_relation timeRangeOPEN march sixth, 2038 CLOSEtimeRange party_size_numberOPEN eight CLOSEparty_size_number
book a maharashtrian  restaurant please.	BookRestaurant cuisineOPEN maharashtrian CLOSEcuisine restaurant_typeOPEN restaurant CLOSErestaurant_type
book a table for five in unalaska  this month .	BookRestaurant party_size_numberOPEN five CLOSEparty_size_number cityOPEN unalaska CLOSEcity timeRangeOPEN this month CLOSEtimeRange
my party of 3 would really like to eat baba au rhum at a brasserie , could you help?	BookRestaurant party_size_numberOPEN 3 CLOSEparty_size_number served_dishOPEN baba au rhum CLOSEserved_dish restaurant_typeOPEN brasserie CLOSErestaurant_type
i want to book a restaurant  now in ludlow for eight	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type timeRangeOPEN now CLOSEtimeRange cityOPEN ludlow CLOSEcity party_size_numberOPEN eight CLOSEparty_size_number
i want to book a pub in ms that serves festoni	BookRestaurant restaurant_typeOPEN pub CLOSErestaurant_type stateOPEN ms CLOSEstate served_dishOPEN festoni CLOSEserved_dish
book a cafe in romania	BookRestaurant restaurant_typeOPEN cafe CLOSErestaurant_type countryOPEN romania CLOSEcountry
i want to take my parents and i to eat some romagna at a brasserie in north dakota	BookRestaurant party_size_descriptionOPEN my parents and i CLOSEparty_size_description cuisineOPEN romagna CLOSEcuisine restaurant_typeOPEN brasserie CLOSErestaurant_type stateOPEN north dakota CLOSEstate
book a table for 1 , 1 second from now in adelaide	BookRestaurant party_size_numberOPEN 1 CLOSEparty_size_number timeRangeOPEN 1 second from now CLOSEtimeRange cityOPEN adelaide CLOSEcity
in one hundred twenty seven days i'd like to eat at a pizzeria in north lima	BookRestaurant timeRangeOPEN in one hundred twenty seven days CLOSEtimeRange restaurant_typeOPEN pizzeria CLOSErestaurant_type cityOPEN north lima CLOSEcity
book a brasserie in cuney for seven people.	BookRestaurant restaurant_typeOPEN brasserie CLOSErestaurant_type cityOPEN cuney CLOSEcity party_size_numberOPEN seven CLOSEparty_size_number
book me a table for seven in co-operative block building , nd .	BookRestaurant party_size_numberOPEN seven CLOSEparty_size_number restaurant_nameOPEN co-operative block building CLOSErestaurant_name stateOPEN nd CLOSEstate
i'd like to eat surf and turf  in one minute at a bar	BookRestaurant served_dishOPEN surf and turf CLOSEserved_dish timeRangeOPEN in one minute CLOSEtimeRange restaurant_typeOPEN bar CLOSErestaurant_type
i want to take my mom and i to the tea house	BookRestaurant party_size_descriptionOPEN my mom and i CLOSEparty_size_description restaurant_typeOPEN tea house CLOSErestaurant_type
i want to book a highly rated  pizzeria  in the same area as tia's house	BookRestaurant sortOPEN highly rated CLOSEsort restaurant_typeOPEN pizzeria CLOSErestaurant_type spatial_relationOPEN in the same area CLOSEspatial_relation poiOPEN tia's house CLOSEpoi
i need a table at the middle east in mn for a party of 6	BookRestaurant restaurant_nameOPEN the middle east CLOSErestaurant_name stateOPEN mn CLOSEstate party_size_numberOPEN 6 CLOSEparty_size_number
book me a restaurant at sint maarten on sun .	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type countryOPEN sint maarten CLOSEcountry timeRangeOPEN sun CLOSEtimeRange
book a restaurant in three points	BookRestaurant restaurant_typeOPEN restaurant CLOSErestaurant_type cityOPEN three points CLOSEcity
i want a table for 2 at a portugal  restaurant	BookRestaurant party_size_numberOPEN 2 CLOSEparty_size_number countryOPEN portugal CLOSEcountry restaurant_typeOPEN restaurant CLOSErestaurant_type
i'd like to eat at an internet  restaurant with a party of four	BookRestaurant facilityOPEN internet CLOSEfacility restaurant_typeOPEN restaurant CLOSErestaurant_type party_size_numberOPEN four CLOSEparty_size_number
i would like to book a bistro for 7	BookRestaurant restaurant_typeOPEN bistro CLOSErestaurant_type party_size_numberOPEN 7 CLOSEparty_size_number
